Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,Iran (Islamic Rep. of),IRN,Canada,CAN,-,-,420,723
2015,Iran (Islamic Rep. of),IRN,Finland,FIN,-,-,22,-
2015,Iran (Islamic Rep. of),IRN,United States of America,USA,-,-,3121,-
2015,Iraq,IRQ,Australia,AUS,-,-,1818,-
2015,Iraq,IRQ,Ireland,IRL,-,-,27,17
2015,Iraq,IRQ,Sweden,SWE,-,-,15,-
2015,Iraq,IRQ,United States of America,USA,-,-,10169,-
2015,Israel,ISR,Canada,CAN,-,-,5,45
2015,Jordan,JOR,Australia,AUS,-,-,21,-
2015,Jordan,JOR,Canada,CAN,-,-,26,64
2015,Jordan,JOR,United States of America,USA,-,-,5,-
2015,Kazakhstan,KAZ,United States of America,USA,-,-,58,-
2015,Kenya,KEN,Australia,AUS,-,-,172,-
2015,Kenya,KEN,Canada,CAN,-,-,5,109
2015,Kenya,KEN,Sweden,SWE,-,-,19,-
2015,Kyrgyzstan,KGZ,United States of America,USA,-,-,8,-
2015,Dem. People's Rep. of Korea,PRK,United States of America,USA,-,-,14,-
2015,Kuwait,KWT,Australia,AUS,-,-,15,-
2015,Kuwait,KWT,Canada,CAN,-,-,5,5
2015,Liberia,LBR,Australia,AUS,-,-,12,-
2015,Liberia,LBR,Canada,CAN,-,-,125,94
2015,Liberia,LBR,United States of America,USA,-,-,11,-
2015,Lebanon,LBN,Australia,AUS,-,-,38,-
2015,Lebanon,LBN,Canada,CAN,-,-,48,101
2015,Sri Lanka,LKA,Australia,AUS,-,-,18,-
2015,Sri Lanka,LKA,Canada,CAN,-,-,14,908
2015,Sri Lanka,LKA,New Zealand,NZL,-,-,23,-
2015,Sri Lanka,LKA,United States of America,USA,-,-,86,-
2015,Mauritania,MRT,Canada,CAN,-,-,9,34
2015,Rep. of Moldova,MDA,United States of America,USA,-,-,259,-
2015,Mali,MLI,United States of America,USA,-,-,8,-
2015,Malaysia,MYS,Australia,AUS,-,-,152,-
2015,Malawi,MWI,Australia,AUS,-,-,9,-
2015,Myanmar,MMR,Australia,AUS,-,-,1397,-
2015,Myanmar,MMR,Canada,CAN,-,-,367,521
2015,Myanmar,MMR,Japan,JPN,-,-,19,-
2015,Myanmar,MMR,Rep. of Korea,KOR,-,-,22,-
2015,Myanmar,MMR,Norway,NOR,-,-,5,-
2015,Myanmar,MMR,New Zealand,NZL,-,-,236,-
2015,Myanmar,MMR,Sweden,SWE,-,-,5,-
2015,Myanmar,MMR,United States of America,USA,-,-,17483,-
2015,Namibia,NAM,Canada,CAN,-,-,5,5
2015,Nepal,NPL,Australia,AUS,-,-,139,-
2015,Nepal,NPL,Canada,CAN,-,-,18,110
2015,Nepal,NPL,United States of America,USA,-,-,37,-
2015,Nigeria,NGA,Canada,CAN,-,-,6,701
2015,Nigeria,NGA,United States of America,USA,-,-,5,-
2015,Oman,OMN,Australia,AUS,-,-,5,-
2015,Pakistan,PAK,Australia,AUS,-,-,274,-
2015,Pakistan,PAK,Canada,CAN,-,-,447,686
2015,Pakistan,PAK,Denmark,DNK,-,-,5,-
2015,Pakistan,PAK,New Zealand,NZL,-,-,5,-
2015,Pakistan,PAK,Sweden,SWE,-,-,5,-
2015,Pakistan,PAK,United States of America,USA,-,-,205,-
2015,Philippines,PHL,Canada,CAN,-,-,20,25
2015,South Africa,ZAF,Australia,AUS,-,-,8,-
2015,South Africa,ZAF,Canada,CAN,-,-,5,5
2015,Russian Federation,RUS,Canada,CAN,-,-,8,117
2015,Russian Federation,RUS,United States of America,USA,-,-,292,-
